Document Name: 2021.10.21_OAMDi.P2_Plate1.sds 
Plate Type: Standard Curve
User: Administrator

Document Information

Operator: Administrator
Run Date: Thursday, October 21, 2021 12:23:02
Last Modified: Thursday, October 21, 2021 13:34:45
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.4.1

Electronic Signatures
No associated Electronic Signatures

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,25.0 °C,2:00,100,,
2,1,50.0 °C,15:00,100,,
3,1,95.0 °C,2:00,100,,
4,45,95.0 °C,0:03,100,,
,,55.0 °C,0:30,100,,
Standard 7500 Mode
Data Collection :  Stage 4 Step 2
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm,User Defined #1,User Defined #2,User Defined #3
A1,NTC N1,N1 Probe,Unknown,Undetermined,,,,,,
A3,NEG.CTRL-CDC0300 N1,N1 Probe,Unknown,Undetermined,,,,,,
A5,SD-4-CDC0300 N1,N1 Probe,Unknown,26.1002,,,,,,
A6,SD-3-CDC0300 N1,N1 Probe,Unknown,24.2733,,,,,,
A7,SD-2-CDC0300 N1,N1 Probe,Unknown,20.5731,,,,,,
A8,SD-1-CDC0300 N1,N1 Probe,Unknown,17.2596,,,,,,
A10,POS.CTRL-CDC0300 N1,N1 Probe,Unknown,26.7033,,,,,,
A12,nCoV PC N1,N1 Probe,Unknown,18.9843,,,,,,
B3,NEG.CTRL-NTP0300 N1,N1 Probe,Unknown,Undetermined,,,,,,
B5,SD-4-NTP0300 N1,N1 Probe,Unknown,25.4324,,,,,,
B6,SD-3-NTP0300 N1,N1 Probe,Unknown,23.2544,,,,,,
B7,SD-2-NTP0300 N1,N1 Probe,Unknown,20.1409,,,,,,
B10,POS.CTRL-NTP0300 N1,N1 Probe,Unknown,26.0708,,,,,,
C1,A1-CDC0300 N1,N1 Probe,Unknown,28.3605,0.122,,,,,
C2,A1-CDC0300 N1,N1 Probe,Unknown,28.5337,0.122,,,,,
C3,A2-CDC0300 N1,N1 Probe,Unknown,28.2314,0.115,,,,,
C4,A2-CDC0300 N1,N1 Probe,Unknown,28.0683,0.115,,,,,
C5,A3-CDC0300 N1,N1 Probe,Unknown,28.1609,0.174,,,,,
C6,A3-CDC0300 N1,N1 Probe,Unknown,27.9147,0.174,,,,,
C7,B1-CDC0300 N1,N1 Probe,Unknown,34.0319,0.507,,,,,
C8,B1-CDC0300 N1,N1 Probe,Unknown,34.7483,0.507,,,,,
C10,B2-CDC0300 N1,N1 Probe,Unknown,35.7178,1.77,,,,,
C11,B2-CDC0300 N1,N1 Probe,Unknown,32.8518,1.77,,,,,
C12,B2-CDC0300 N1,N1 Probe,Unknown,32.4745,1.77,,,,,
D1,A1-NTP0300 N1,N1 Probe,Unknown,27.0317,0.319,,,,,
D2,A1-NTP0300 N1,N1 Probe,Unknown,26.5811,0.319,,,,,
D3,A2-NTP0300 N1,N1 Probe,Unknown,26.5827,0.126,,,,,
D4,A2-NTP0300 N1,N1 Probe,Unknown,26.761,0.126,,,,,
D5,A3-NTP0300 N1,N1 Probe,Unknown,27.3944,0.156,,,,,
