Document Name: 2021.10.21_OAMDi.P2_Plate2.sds 
Plate Type: Standard Curve
User: Administrator

Document Information

Operator: Administrator
Run Date: Thursday, October 21, 2021 12:35:15
Last Modified: Thursday, October 21, 2021 13:51:16
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.4.1

Electronic Signatures
No associated Electronic Signatures

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,25.0 °C,2:00,100,,
2,1,50.0 °C,15:00,100,,
3,1,95.0 °C,2:00,100,,
4,45,95.0 °C,0:03,100,,
,,55.0 °C,0:30,100,,
Standard 7500 Mode
Data Collection :  Stage 4 Step 2
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm,User Defined #1,User Defined #2,User Defined #3
A1,NTC N1,N1 Probe,Unknown,Undetermined,,,,,,
A3,NEG.CTRL-NTP1000 N1,N1 Probe,Unknown,Undetermined,,,,,,
A5,SD-4-CDC0300 N1,N1 Probe,Unknown,26.023,,,,,,
A6,SD-3-CDC0300  N1,N1 Probe,Unknown,23.8438,,,,,,
A7,SD-2-CDC0300 N1,N1 Probe,Unknown,20.4079,,,,,,
A8,SD-1-CDC0300 N1,N1 Probe,Unknown,17.1866,,,,,,
A10,POS.CTRL-NTP1000 N1,N1 Probe,Unknown,24.0783,,,,,,
A12,nCoV PC N1,N1 Probe,Unknown,18.7703,,,,,,
B3,NEG.CTRL-NTP.ELU N1,N1 Probe,Unknown,Undetermined,,,,,,
B5,SD-4-NTP0300 N1,N1 Probe,Unknown,25.2612,,,,,,
B6,SD-3-NTP0300 N1,N1 Probe,Unknown,23.0722,,,,,,
B7,SD-2-NTP0300 N1,N1 Probe,Unknown,20.1206,,,,,,
B8,SD-1-NTP0300 N1,N1 Probe,Unknown,17.3248,,,,,,
B10,POS.CTRL-NTP.ELU N1,N1 Probe,Unknown,21.8616,,,,,,
C1,A1-NTP1000 N1,N1 Probe,Unknown,24.6975,0.308,,,,,
C2,A1-NTP1000 N1,N1 Probe,Unknown,25.1332,0.308,,,,,
C3,A2-NTP1000 N1,N1 Probe,Unknown,24.8043,0.174,,,,,
C4,A2-NTP1000 N1,N1 Probe,Unknown,25.0497,0.174,,,,,
C5,A3-NTP1000 N1,N1 Probe,Unknown,25.4599,0.198,,,,,
C6,A3-NTP1000 N1,N1 Probe,Unknown,25.1805,0.198,,,,,
C7,B1-NTP1000 N1,N1 Probe,Unknown,32.3683,0.572,,,,,
C8,B1-NTP1000 N1,N1 Probe,Unknown,31.5596,0.572,,,,,
C9,B2-NTP1000 N1,N1 Probe,Unknown,32.2381,0.498,,,,,
C10,B2-NTP1000 N1,N1 Probe,Unknown,31.5344,0.498,,,,,
C11,B3-NTP1000 N1,N1 Probe,Unknown,30.2278,1.12,,,,,
C12,B3-NTP1000 N1,N1 Probe,Unknown,31.8116,1.12,,,,,
D1,A1-NTP.ELU N1,N1 Probe,Unknown,24.1144,0.178,,,,,
D2,A1-NTP.ELU N1,N1 Probe,Unknown,24.3664,0.178,,,,,
D3,A2-NTP.ELU N1,N1 Probe,Unknown,24.037,0.153,,,,,
D4,A2-NTP.ELU N1,N1 Probe,Unknown,24.2529,0.153,,,,,
D5,A3-NTP.ELU N1,N1 Probe,Unknown,24.8465,0.414,,,,,
D6,A3-NTP.ELU N1,N1 Probe,Unknown,24.2612,0.414,,,,,
D7,B1-NTP.ELU N1,N1 Probe,Unknown,30.5948,0.323,,,,,
