Document Name: 2021.05.18_CDCvCERES2_MYC.sds 
Plate Type: Standard Curve
User: INSTR-ADMIN

Document Information

Operator: Administrator
Run Date: Tuesday, May 18, 2021 11:16:02
Last Modified: Tuesday, May 18, 2021 12:27:24
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System
Exporting Mode: Based on Selected Wells and Report Setting
Comments:
SDS v1.4.1

Electronic Signatures
No associated Electronic Signatures

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,25.0 °C,2:00,100,,
2,1,50.0 °C,15:00,100,,
3,1,95.0 °C,2:00,100,,
4,45,95.0 °C,0:03,100,,
,,55.0 °C,0:30,100,,
Standard 7500 Mode
Data Collection :  Stage 4 Step 2
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Quantity,Mean Qty,StdDev Qty,Filtered,Tm,User Defined #1,User Defined #2,User Defined #3
A1,CDC 120 I,N1 Probe,Unknown,31.5923,0.292-999.9,,,,,,,,
A2,CDC 120 I,N1 Probe,Unknown,31.1793,0.292-999.9,,,,,,,,
A3,CDC 120 II,N1 Probe,Unknown,33.3931,0.0432-999.9,,,,,,,,
A4,CDC 120 II,N1 Probe,Unknown,33.3321,0.0432-999.9,,,,,,,,
A5,CDC 120 III,N1 Probe,Unknown,36.0241,0.0929-999.9,,,,,,,,
A6,CDC 120 III,N1 Probe,Unknown,36.1555,0.0929-999.9,,,,,,,,
A7,CDC 120 I,N2 Probe,Unknown,34.0212,0.263-999.9,,,,,,,,
A8,CDC 120 I,N2 Probe,Unknown,34.3936,0.263-999.9,,,,,,,,
A9,CDC 120 II,N2 Probe,Unknown,36.7647,0.497-999.9,,,,,,,,
A10,CDC 120 II,N2 Probe,Unknown,37.4676,0.497-999.9,,,,,,,,
A11,CDC 120 III,N2 Probe,Unknown,Undetermined,,,,,,,,,
A12,CDC 120 III,N2 Probe,Unknown,Undetermined,,,,,,,,,
B1,CDC 300 I,N1 Probe,Unknown,30.9599,0.0962-999.9,,,,,,,,
B2,CDC 300 I,N1 Probe,Unknown,31.096,0.0962-999.9,,,,,,,,
B3,CDC 300 II,N1 Probe,Unknown,32.6614,0.891-999.9,,,,,,,,
B4,CDC 300 II,N1 Probe,Unknown,33.9216,0.891-999.9,,,,,,,,
B5,CDC 300 III,N1 Probe,Unknown,36.979,0.331-999.9,,,,,,,,
B6,CDC 300 III,N1 Probe,Unknown,36.5103,0.331-999.9,,,,,,,,
B7,CDC 300 I,N2 Probe,Unknown,34.0016,0.147-999.9,,,,,,,,
B8,CDC 300 I,N2 Probe,Unknown,33.7942,0.147-999.9,,,,,,,,
B9,CDC 300 II,N2 Probe,Unknown,36.1719,0.154-999.9,,,,,,,,
B10,CDC 300 II,N2 Probe,Unknown,36.3902,0.154-999.9,,,,,,,,
B11,CDC 300 III,N2 Probe,Unknown,39.1469,-999.9,,,,,,,,
B12,CDC 300 III,N2 Probe,Unknown,Undetermined,,,,,,,,,
C1,CERES 300 I,N1 Probe,Unknown,30.6163,0.0386-999.9,,,,,,,,
C2,CERES 300 I,N1 Probe,Unknown,30.6709,0.0386-999.9,,,,,,,,
C3,CERES 300 II,N1 Probe,Unknown,32.7183,0.591-999.9,,,,,,,,
C4,CERES 300 II,N1 Probe,Unknown,33.5537,0.591-999.9,,,,,,,,
C5,CERES 300  III,N1 Probe,Unknown,35.6283,0.75-999.9,,,,,,,,
C6,CERES 300  III,N1 Probe,Unknown,36.689,0.75-999.9,,,,,,,,
C7,CERES 300 I,N2 Probe,Unknown,33.8968,0.122-999.9,,,,,,,,
C8,CERES 300 I,N2 Probe,Unknown,33.7249,0.122-999.9,,,,,,,,
C9,CERES 300 II,N2 Probe,Unknown,36.6898,0.0399-999.9,,,,,,,,
C10,CERES 300 II,N2 Probe,Unknown,36.6334,0.0399-999.9,,,,,,,,
C11,CERES 300  III,N2 Probe,Unknown,41.4113,1.7-999.9,,,,,,,,
C12,CERES 300  III,N2 Probe,Unknown,39.0089,1.7-999.9,,,,,,,,
D1,CERES 1000 I,N1 Probe,Unknown,28.2325,0.0889-999.9,,,,,,,,
D2,CERES 1000 I,N1 Probe,Unknown,28.3583,0.0889-999.9,,,,,,,,
D3,CERES 1000 II,N1 Probe,Unknown,31.5283,0.0323-999.9,,,,,,,,
D4,CERES 1000 II,N1 Probe,Unknown,31.4826,0.0323-999.9,,,,,,,,
D5,CERES 1000 III,N1 Probe,Unknown,36.3864,0.575-999.9,,,,,,,,
D6,CERES 1000 III,N1 Probe,Unknown,35.5733,0.575-999.9,,,,,,,,
D7,CERES 1000 I,N2 Probe,Unknown,31.5935,0.0352-999.9,,,,,,,,
D8,CERES 1000 I,N2 Probe,Unknown,31.6433,0.0352-999.9,,,,,,,,
D9,CERES 1000 II,N2 Probe,Unknown,34.4385,0.0317-999.9,,,,,,,,
D10,CERES 1000 II,N2 Probe,Unknown,34.4834,0.0317-999.9,,,,,,,,
D11,CERES 1000 III,N2 Probe,Unknown,39.87,1.23-999.9,,,,,,,,
D12,CERES 1000 III,N2 Probe,Unknown,38.1327,1.23-999.9,,,,,,,,
E1,CERES BR I,N1 Probe,Unknown,26.5636,0.0211-999.9,,,,,,,,
E2,CERES BR I,N1 Probe,Unknown,26.5338,0.0211-999.9,,,,,,,,
E3,CERES BR II,N1 Probe,Unknown,29.8461,-999.9,,,,,,,,
E4,CERES BR II,N1 Probe,Unknown,Undetermined,,,,,,,,,
E5,CERES BR III,N1 Probe,Unknown,30.0096,0.184-999.9,,,,,,,,
E6,CERES BR III,N1 Probe,Unknown,30.2699,0.184-999.9,,,,,,,,
E7,CERES BR I,N2 Probe,Unknown,30.3468,0.0228-999.9,,,,,,,,
E8,CERES BR I,N2 Probe,Unknown,30.3145,0.0228-999.9,,,,,,,,
E9,CERES BR II,N2 Probe,Unknown,32.5432,0.254-999.9,,,,,,,,
E10,CERES BR II,N2 Probe,Unknown,32.9028,0.254-999.9,,,,,,,,
E11,CERES BR III,N2 Probe,Unknown,33.3234,0.0833-999.9,,,,,,,,
E12,CERES BR III,N2 Probe,Unknown,33.2055,0.0833-999.9,,,,,,,,
G1,A1-0,N1 Probe,Unknown,Undetermined,,,,,,,,,
G2,CDC -5,N1 Probe,Unknown,31.8398,-999.9,,,,,,,,
G3,CDC -4,N1 Probe,Unknown,28.7148,-999.9,,,,,,,,
G4,CDC -3,N1 Probe,Unknown,25.4945,-999.9,,,,,,,,
G5,CDC -2,N1 Probe,Unknown,23.3724,-999.9,,,,,,,,
G6,NTC,N1 Probe,Unknown,Undetermined,,,,,,,,,
G7,A1-0,N2 Probe,Unknown,Undetermined,,,,,,,,,
